Date,avg_sentiment_score,avg_sentiment_label_score,pos_count,neut_count,neg_count,total,pct_positive,pct_neutral,pct_negative,sentiment_score_combined,sentiment_polarization,log_total_sentiment,z_sentiment_score_combined,z_sentiment_polarization,z_log_total_sentiment
2019-04-01,0.9449284690799136,0.0606060606060606,10.0,15.0,8.0,33.0,0.303030303030303,0.4545454545454545,0.2424242424242424,0.6796317465377576,0.06060606060606058,3.5263605246161616,0.3547456942632162,0.11377397450615777,0.7568318118335339
2019-04-02,0.949345858960316,0.2586206896551724,24.0,25.0,9.0,58.0,0.4137931034482758,0.4310344827586206,0.1551724137931034,0.7421283081687728,0.2586206896551724,4.07753744390572,0.633999254130992,0.7506625935044677,1.161020639751779
2019-04-03,0.960410414263606,0.34375,13.0,17.0,2.0,32.0,0.40625,0.53125,0.0625,0.7754122899845242,0.34375,3.4965075614664802,0.7827221624967251,1.0244700852143283,0.7349400493829054
2019-04-04,0.9541549072379156,0.1904761904761904,13.0,24.0,5.0,42.0,0.3095238095238095,0.5714285714285714,0.119047619047619,0.725051292209398,0.19047619047619047,3.7612001156935624,0.5576939763025937,0.5314845651797573,0.9290442825384422
2019-04-05,0.919514140662025,0.088235294117647,9.0,19.0,6.0,34.0,0.2647058823529412,0.5588235294117647,0.1764705882352941,0.6701304866987116,0.08823529411764708,3.5553480614894135,0.3122911885426071,0.20263985507103155,0.7780889402491042
2019-04-06,0.9058089454968772,0.0666666666666666,5.0,6.0,4.0,15.0,0.3333333333333333,0.4,0.2666666666666666,0.654066261847814,0.06666666666666671,2.772588722239781,0.24051136803639775,0.1332671354042593,0.20407618898736474
2019-04-07,0.9383035187537854,0.0769230769230769,7.0,14.0,5.0,26.0,0.2692307692307692,0.5384615384615384,0.1923076923076923,0.6798893862045728,0.07692307692307693,3.295836866004329,0.3558969063018254,0.16625556153950755,0.5877842989190949
2019-04-08,0.9527390948156031,0.0975609756097561,13.0,19.0,9.0,41.0,0.3170731707317073,0.4634146341463415,0.2195121951219512,0.696185659053849,0.09756097560975613,3.7376696182833684,0.42871358752350913,0.23263471168970254,0.911788908019461
2019-04-09,0.9503989773137228,0.0238095238095238,8.0,27.0,7.0,42.0,0.1904761904761904,0.6428571428571429,0.1666666666666666,0.672422141262463,0.023809523809523808,3.7612001156935624,0.322530994992971,-0.004577359518028671,0.9290442825384422
2019-04-10,0.9378068233147646,0.0769230769230769,10.0,22.0,7.0,39.0,0.2564102564102564,0.5641025641025641,0.1794871794871795,0.6795416993972583,0.0769230769230769,3.6888794541139363,0.35434333637529253,0.16625556153950746,0.8760101252376995
2019-04-11,0.9385929587410716,0.024390243902439,10.0,22.0,9.0,41.0,0.2439024390243902,0.5365853658536586,0.2195121951219512,0.6643321442894818,0.02439024390243902,3.7376696182833684,0.2863824390554013,-0.002709547933715843,0.911788908019461
2019-04-12,0.9265994545486238,-0.0555555555555555,7.0,20.0,9.0,36.0,0.1944444444444444,0.5555555555555556,0.25,0.63195295151737,-0.05555555555555561,3.6109179126442243,0.14170240208565688,-0.25984494270745073,0.8188394002553128
2019-04-13,0.9218275348345438,0.0833333333333333,2.0,9.0,1.0,12.0,0.1666666666666666,0.75,0.0833333333333333,0.6702792743841807,0.0833333333333333,2.5649493574615367,0.31295601697072206,0.18687332787403765,0.05181017685539133
2019-04-14,0.9470640392530532,0.238095238095238,6.0,14.0,1.0,21.0,0.2857142857142857,0.6666666666666666,0.0476190476190476,0.7343733989057085,0.23809523809523808,3.091042453358316,0.5993479715380696,0.6846451150934104,0.43760454589480013
2019-04-15,0.9736823101301452,-0.1081081081081081,2.0,29.0,6.0,37.0,0.054054054054054,0.7837837837837838,0.1621621621621621,0.6491451846586691,-0.10810810810810809,3.6375861597263857,0.21852250516796698,-0.42887347752206767,0.8383957480513464
2019-04-16,0.9548541045770412,-0.024390243902439,6.0,28.0,7.0,41.0,0.1463414634146341,0.6829268292682927,0.1707317073170731,0.6610808000331971,-0.02439024390243899,3.7376696182833684,0.271854448487156,-0.15960572101599454,0.911788908019461
2019-04-17,0.965180653333664,0.2,7.0,10.0,3.0,20.0,0.35,0.5,0.15,0.7356264573335647,0.19999999999999998,3.044522437723423,0.6049470159905806,0.562116675162488,0.403490507486875
2019-04-18,0.9185562999017776,0.1612903225806451,9.0,18.0,4.0,31.0,0.2903225806451613,0.5806451612903226,0.1290322580645161,0.6913765067054377,0.1612903225806452,3.4657359027997265,0.40722483873170606,0.43761197007138947,0.7123745895199507
2019-04-19,0.9458713390325244,0.0789473684210526,9.0,23.0,6.0,38.0,0.2368421052631578,0.6052631578947368,0.1578947368421052,0.6857941478490828,0.0789473684210526,3.6635616461296463,0.38228116915352417,0.17276643511883277,0.8574440808760825
2019-04-20,0.9835302670796712,0.1333333333333333,3.0,11.0,1.0,15.0,0.2,0.7333333333333333,0.0666666666666666,0.7284711869557698,0.13333333333333341,2.772588722239781,0.5729751014937031,0.34769190528337385,0.20407618898736474
2019-04-21,0.9817900797900032,0.0588235294117647,4.0,10.0,3.0,17.0,0.2352941176470588,0.5882352941176471,0.1764705882352941,0.7049001146765317,0.05882352941176469,2.8903717578961645,0.4676524137794515,0.10804069188906919,0.2904487954309894
2019-04-22,0.9395417695244154,0.0416666666666666,5.0,15.0,4.0,24.0,0.2083333333333333,0.625,0.1666666666666666,0.6701792386670907,0.041666666666666685,3.2188758248682006,0.31250902709828354,0.05285784669959132,0.5313472604228624
2019-04-23,0.9628649513895918,0.1951219512195122,13.0,23.0,5.0,41.0,0.3170731707317073,0.5609756097560976,0.1219512195121951,0.7325420513385679,0.1951219512195122,3.7376696182833684,0.5911649561187794,0.5464270578542602,0.911788908019461
2019-04-24,0.9546656109565912,0.0465116279069767,10.0,25.0,8.0,43.0,0.2325581395348837,0.5813953488372093,0.1860465116279069,0.6822194160417068,0.0465116279069768,3.784189633918261,0.36630818509279933,0.0684410421849922,0.9459029464273858
2019-04-25,0.9450682997703552,0.0217391304347826,10.0,27.0,9.0,46.0,0.217391304347826,0.5869565217391305,0.1956521739130435,0.6680695489696834,0.02173913043478251,3.8501476017100584,0.3030822947654604,-0.011236513862100856,0.9942712157808973
2019-04-26,0.9737497412023092,-0.0238095238095238,6.0,29.0,7.0,42.0,0.1428571428571428,0.6904761904761905,0.1666666666666666,0.6744819616987593,-0.023809523809523808,3.7612001156935624,0.33173489636790143,-0.1577379094316818,0.9290442825384422
2019-04-27,0.9373191281368858,0.1052631578947368,5.0,11.0,3.0,19.0,0.2631578947368421,0.5789473684210527,0.1578947368421052,0.687702337064241,0.10526315789473689,2.995732273553991,0.3908075363220147,0.25740779165006245,0.36771172470511354
2019-04-28,0.8958770823478699,-0.24,3.0,13.0,9.0,25.0,0.12,0.52,0.36,0.5551139576435089,-0.24,3.258096538021482,-0.2016374875969324,-0.8530868060396671,0.5601085773879774
2019-04-29,0.9386580235817852,-0.1176470588235294,6.0,18.0,10.0,34.0,0.1764705882352941,0.5294117647058824,0.2941176470588235,0.6217664988601908,-0.11764705882352938,3.5553480614894135,0.09618624739323355,-0.4595542872027041,0.7780889402491042
2019-04-30,0.9559970614386768,-0.073170731707317,6.0,26.0,9.0,41.0,0.1463414634146341,0.6341463414634146,0.2195121951219512,0.6472467234948786,-0.07317073170731708,3.7376696182833684,0.21003960587841417,-0.3165018940982735,0.911788908019461
2019-05-01,0.9375721135654964,0.1081081081081081,8.0,25.0,4.0,37.0,0.2162162162162162,0.6756756756756757,0.1081081081081081,0.6887329119282799,0.1081081081081081,3.6375861597263857,0.39541245684855914,0.26655820857235724,0.8383957480513464
